"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"Teenkahon","Bauddhayan Mukherji","Suman Mukhopadhyay, Kharaj Mukherjee, Manasi Sinha, Biswanath Bose, Manu Mukherjee, Parvathy Baul, Joy Sengupta, Sabyasachi Chakraborty","","",2014,"18+","124 min","Comedy, International","Teenkahon (Three Obsessions) is a triptych film in Bengali by debutant filmmaker Bauddhayan Mukherji. It is a rare international art house film from Bengal which, as a piece of social document, tries to capture the changing face of morality, the degeneration of values, the increasing pollution of the spoken language and the changing social fabric of Bengal through three stories."
"A Nun's Curse","Tommy Faircloth","Felissa Rose, Damian Maffei, Kristi Ray, Erika Edwards, Gunner Willis","","",2020,"13+","73 min","Horror, Suspense","On a weekend trip, a group of friends are forced to seek shelter inside an abandoned prison where a nun named Sister Monday had once been assigned. During her time at the prison, Sister Monday was suspected of killing prisoners who were serving out their sentences but before she could be questioned, she disappeared. Once inside the prison, they will learn the terrifying truth."
"The Kung Fu Master","ABRID SHINE","NEETA PILLAI, SANOOP D, JIJI SCARIA","","",2020,"16+","120 min","Action","The Kung Fu Master is a 2020 Indian Malayalam-language martial arts action film written and directed by Abrid Shine, produced by Shibu Thekkumpuram under the banner of Fullon Studio Frames. The film stars Neeta Pillai,Sanoop Dinesh and Jiji Scaria in major roles. The music and background score of the film was composed by Ishaan Chhabra. Arjun Ravi made his debut as a cinematographer with this film"
"After You're Gone","Anna Matison","Sergey Bezrukov, Anastasia Bezrukova, Karina Andolenko, Vladimir Menshov, Tamara Akulova","","",2016,"16+","111 min","Arts, Entertainment, and Culture, Drama","Aleksey Temnikov is a renowned ballet dancer, and an acknowledged genius whose career was cut abruptly short after sustaining an injury back in the '90s. Twenty years later, Aleksey discovers that his condition is degenerative, and that he will soon lose the ability to walk. For him, this means only one thing - death. Before this happens, Aleksey sets out to choreograph a ballet."
"Urvi","B.S.Pradeep Varma","Shruthi Hariharan, Shraddha Srinath, Achyuth Kumar","","",2017,"18+","122 min","Drama, Suspense","A wall separates three woman from reaching their dreams. In order to break it down, they must come together and strike at the hands that built it."
"No Strings","Rebecca Ugo","Racheal Ihim, Daniel Lopez, Cristina Pop","","",2021,"16+","81 min","Drama, Romance","A young girl is saved from child trafficking but looses her mother in the process. She carries resentment and hate for the world, so she takes her anger into relationships. To avenge her mom's death, she goes on dates with guys specifically to break their hearts. This continues until she meets Caleb; an intern counselor who knows her because he has counseled the guys Jenny has meddled with."
"Jurassic Galaxy","James Kondelik, Jon Kondelik","Madison West, Eric Paul Erickson, Frankie Ray, Doug Bunch, Jonathan Nation, Ryan Budds","","",2019,"13+","75 min","Action, Science Fiction","In the near future, a ship of space explorers crash land on an unknown planet. They're soon met with some of their worst fears as they discover the planet is inhabited by monstrous dinosaurs."
"A Promise to Astrid","Gary Lee Vincent","JoAnn F. Peterson, Dean Cain, Jeremy Gladen","","",2019,"7+","89 min","Drama, Special Interest","A Promise to Astrid is a captivating account of a woman whose unusual gift and stubborn determination leads to a greater purpose. When a car accident leaves a family in a predicament, Astrid intervenes and is dismissed as an eccentric elderly neighbor. Despite the family's resistance, Astrid's demonstration of faith and selflessness defy all expectations."
"Max Bishop","Jack Beranek","Chris Charais, Iris Seifert, Katie Troske, Joel Thingvall, Don Peterson, Timothy Meinke, Rachel Grubb","","",2021,"16+","84 min","Action, Comedy, Suspense","An out of work hitman finds employment as a janitor at the local elementary school."
"South Bureau Homicide","Mark Earl Burman, Mike Cooley","","","",2017,"13+","79 min","Documentary, Drama","Set in LAPD's South Bureau of the City of Los Angeles, this film explores the unsung bond created by the homicide detectives and the local community's crime activists. Going against stereotypes, they traffic in the aftermath of murder, step into the breach of loss for next of kin, investigate crimes, and forge relationships with those who live in the midst of persistent violence."
"Jayhawkers","Kevin Willmott","Justin Wesley, Kip Nivens","","",2015,"18+","106 min","Drama","From Academy-award winning screenwriter Kevin Willmott, a film about gifted young basketball phenom Wilt Chamberlain and legendary coach Phog Allen, who together re-invented college sports at the University of Kansas in the 1950s, paralleling the Civil Rights movement that would transform an entire nation."
"Truth or Die","Robert Heath","Tom Kane","","",2012,"18+","95 min","Horror","Young British boys and girls travel to an isolated cabin after being promised a night of heavy partying. Instead of the fun they hoped for, they meet a killer out to reap vengeance on them for the death of his brother."
"The Last Witch","Robin Sheppard","Katherine Kelly, Anne Reid, James Thornton, Danny Cunningham, Maimie McCoy","","",2013,"18+","43 min","Drama, Horror","The Last Witch follows the lives of two feuding sisters who, having spent centuries apart, are reunited with vengeful and deadly consequences."
"Damage","ANGEL AMUZO MALEDO","COURAGE AKPANIKAN LAMIROSE ALI EBILOMA EMMANUEL","","",2021,"18+","91 min","Drama","When a fun loving husband who has a way of gathering ant-infested firewood ignores the underlying health challenges of the wife who tries everything to stop him from his usual habit. A prey is caught and the pandemic becomes collateral damage."
"15-Minute Full Body Chisel & Burn 7.0 Workout (with weights)","","Maggie Binkley","","",2019,"ALL","20 min","Fitness","Chisel and burn through this full body workout - your third full body workout of the week in this 7.0 program. This workout rounds out the week by providing fresh challenge and different exercises to keep your body challenged and ever-improving. Begins after 4+ weeks in Series 6.0. Head to my website (FitnessMaggie) for the 7.0 weekly schedule, yoga series schedules & more."
"Gretchen - The Tragedy","Michael Junghanns","Franziska Fritsch, Axel Müller, Melissa Nobis","","",2020,"16+","10 min","Drama","Gretchen, a prisoner of an insane asylum, describes in flashbacks her path from a loving woman to a murderer. Obsessed with the devil."
"Maayavan","C V Kumar","Sundeep Kishan, Lavanya Tripathi, Jackie Shroff, Daniel Balaji, Akshara Gowda, V Jayaprakash, Mime Gopi, Bagavathi Perumal, K S Ravikumar","","",2017,"13+","126 min","International, Science Fiction, Suspense","Sundeep Kishan plays a police officer, who is severely injured while trapping a murderer. Couple of months after recovery, he resumes his job and during the process of investigating the murder of an actress (Akshara Gowda) comes across similarities in pattern of this murder with the previous ones. This takes him through few more characters, who are in some way connected with these murders."
"The Wereth Eleven","Robert Child","Corey Reynolds, Ken Arnold","United States","",2011,"13+","61 min","Documentary, Military and War","During World War II, 1.2 million African-Americans served in America's Armed Forces. Fully 125,000 served overseas. 708 were killed. Among these were The Wereth Eleven. Their story was lost to history. Until now."
"Go Buster - Buster the Wizard and More Original Kids Songs","Moonbug Entertainment","","","",2020,"ALL","38 min","Kids","Go Buster is an animated online educational kids series watched all over the globe. Brought to you by the creators of Little Baby Bum, Go Buster encourages learning, creativity and fun! Learn colors, shapes and numbers with of our well-loved characters! Sing along and watch some classic nursery rhymes, songs and original videos!"
"The Benefactor","Andrew Renzi","Richard Gere, Dakota Fanning, Theo James","","",2016,"16+","93 min","Drama","A newly married couple are forced to navigate the all-consuming interest of a powerful, mysterious, and possessive philanthropist."
"Ninu Veedani Needanu Nene","Caarthik Raju","Sundeep Kishan, Anya Singh, Murali Sharma, Vennela Kishore, Posani Krishnamurali, Poornima Bhagyaraj, Pragati, Divya Ganesh, Banda Raghu","","",2019,"13+","123 min","Comedy, Drama, International","Ninu Veedani Needanu Nene is about a young man who gets mired in a dire situation and comes out successfully."
"The Trump Prophecy","Stephan Schultze","Chris Nelson, Paulette Todd, Karen Boles, Don Brooks","","",2018,"13+","110 min","Drama, Faith and Spirituality","Witness the true story of one man's personal journey to healing that led to an international prayer movement. Retired firefighter Mark Taylor finds himself in a crisis of faith as he struggles with a diagnosis of PTSD. Everything changes when he experiences a revelation from God. As he works to understand his remarkable experience, he shares his inspirational message of hope and patriotism."
"Wallflower","Jagger Gravning","David Call, Atsuko Okatsuka, Conner Marx","","",2020,"18+","84 min","Suspense","Based on the shocking untold American tragedy, a troubled loner is befriended by an eccentric group of ravers and finds himself conflicted about his intentions."
"Nazi Undead","Steven Spiel","Georgia Chara, Leigh Scully, Andy McPhee","","",2019,"18+","78 min","Horror","A holiday in Germany turns into a nightmare when a couple discover that their lodgings are haunted by the ghost of a Nazi officer convicted of murdering his family. Trapped by this terror, they must escape the house or suffer the same fate."
"Number Zoo Adventures with Toddler Fun Learning","Christian Hughes","","","",2019,"ALL","30 min","Kids","'Toddler Fun Learning' is an educational children's show for 2-6 years old. In their 'Number Zoo' series, your children will enjoy learning how to count and recite the alphabet with many wonderful cute zoo animals!"
"A Year in Burgundy","David Kennard","Martine Saunier","United States, France","",2013,"13+","89 min","Documentary, Special Interest","The film follows seven wine-making families in the Burgundy region of France through the course of a full year, and delves into the cultural and creative process of making wine, as well as its deep ties to the land. The film is in four season-sections, and plays out against that backdrop: spring showers, drought, heat wave, hail and storms, harvest moons and the damp cold of winter."
"Aurinko In Adagio: A Rising Voices Film","Elisee Junior St Preux","Taj Johnson, Dexter Tillis, Erinn Jones, Myriah Reese","","",2021,"13+","15 min","Drama","Isolated from society in a deserted delta community with his austere father, a child musical prodigy prepares for the audition of a lifetime while navigating a newfound skill in ancestral dreaming."
"Dabangg 3","Prabhudeva","Salman Khan, Kichcha Sudeepa, Sonakshi Sinha, Arbaaz Khan, Saiee Manjrekar","","",2019,"13+","148 min","Action, Romance","Dabangg 3 is a high-voltage tongue-in-cheek story of a famous cop, Chulbul Pandey, an Uttar Pradesh cop who calls himself Robin Hood Pandey. Things take an unexpected turn when his past comes to haunt him as the face of the main antagonist of the film, Balli. Circumstances force Chulbul to take up the righteous path to protect his loved ones and family and do what is right in the eyes of the law."
"Malevolent","Emelie Lindblom","Anki Lidén, Arman Fanni, Lisette Pagler, Elena Hovsepyan","","",2017,"13+","81 min","Horror, Young Adult Audience","A summer camp turns into a nightmare for three high school students when paranormal events unleash."
"Blacksmith","Frank DiCesare, Mahmoud Salimi","Rob Flurry","","",2017,"ALL","16 min","Documentary","""Blacksmith"" is a 15-minute documentary that highlights the work of Rob Flurry, the resident blacksmith at the Spindletop-Gladys City Boomtown Museum in Beaumont, Texas."
"Angel Mountain","Karen Schuback","Daniel Grogan, Caroline Amiguet, Megan Elizabeth Barker, Aiden Anderson, Andrew J Jackson","","",2021,"16+","104 min","Drama","In the early 1950's, sixteen- year-old Jimmy Hoffer and his two siblings do their best to survive poverty, a crumbling family unit, and endless obstacles that will eventfully destroy everything they know."
"Alone For Christmas","Joseph Lawson","David DeLuise, Kim Little, Davis Cleveland","","",2013,"ALL","88 min","Kids","When a family visits Grandma's house on Christmas Eve, they leave their dog at home alone. And when burglars try to take the presents from under the tree, the dog must use every trick it knows to stop them"
"The Mine Adventure With Shawn the Train and Team - In Search of Crystals and Friendship","","","","",2017,"ALL","11 min","Kids","Shawn the Train and his friend Speedy go to an abandoned mine to search for glowing crystals. During their adventure they meet a new friend, Gus, and discover that there are more important things in life than gems and stones."
"Mitwaa","Swapna Waghmare Joshi","Swapnil Joshi, Sonalee Kulkarni, Prarthana Behere, Aruna Irani","","",2015,"13+","130 min","Romance","Shivam, a rich hotelier from Goa, doesn't believe in love or the institution of marriage. But when Nandini, a smart woman, joins his hotel as an employee, he is attracted to her."
"Cosmos","Elliot Weaver, Zander Weaver","Tom England, Arjun Singh Panam, Joshua Ford, Ben Vardy","","",2019,"13+","129 min","Action, Science Fiction","Three amateur astronomers accidentally intercept what they believe to be a signal from a distant alien civilization, but the truth they uncover is more incredible than any of them dare to believe."
"Three Worlds, One Stage","Jessica McGaugh, Roma Sur","Swagata Banerjee, Fara Tolno, Maria Vazquez","","",2021,"16+","57 min","Documentary","Three Worlds, One Stage explores the preservation of ancient culture via three immigrant performing artists in Colorado. This is a story of three immigrant artists, who have reached creative heights through their struggle and determination."
"Prisoners of the Sun","Roger Christian","John Rhys-Davies, David Charvet, Carmen Chaplin","","",2014,"16+","88 min","Action, Horror","A multinational expedition discovers a lost city beneath a pyramid, where they must stop the reawakened gods of ancient Egypt from initiating the Apocalypse."
"The Rookies","Alan Yuen","Talu Wang, Milla Jovovich, Sandrine Pinna, David Lee McInnis","","",2019,"16+","113 min","Action","Extreme sport lover Zhou Feng got involved in an international illegal trade by accident. So he had to follow an international special agent Bruce to Budapest."
"Once Is Enough","Jeffrey James Binney","Jeffrey James Binney","","",2020,"16+","74 min","Comedy, Documentary","While sitting in a hospital waiting room waiting for his mother to die of heart disease, a 33yo obese comedian reads a running magazine article and decides to avoid his mother's fate by running one of the world's most difficult 100-mile ultramarathons."
"The Prophecy","Kenneth Okinkwo Okwy","Iyke Ogbonna George Clinting Ngozi Achms","","",2021,"16+","124 min","Drama","What happens in the dark will eventually comes to light. Aretha was giving a prophecy that scattered and Challenged her faith. In times like this, will she trust her God and look up to him for clarity, or will she will she allow a word lead her into darkness as she looks for solution?"
"Varanpona 24 Manikoor","Sreenivass Redde","Satyadev, Eesha Rebba, Musskan Sethi, Srikanth","","",2019,"13+","131 min","Drama, Romance, Suspense","Vidya is happily married to Rahul until tragedy strikes with her husband's death - and she is the one responsible. She becomes the prime suspect during the investigation headed by ACP Narasimha. With growing suspicion and an unending maze of mystery, a secret is revealed which turns everyone's lives upside down."
"Five Little Ducks Nursery Rhymes for Babies in Indonesian","USP Studios","Kids TV, Junior Squad","","",2021,"ALL","45 min","Animation, Kids, Music Videos and Concerts","Five little ducks nursery rhymes for children and babies to learn and sing along in Indonesian. Watch this collection of the best cartoon animated nursery rhymes and preschool videos to sing along with lots of fun."
"Choosi Choodangaane","Sesha Sindhu Rao","Shiva Kandukuri, Varsha Bollamma, Malavika Satheesan, Pavitra Lokesh, Anish Yohan Kuruvilla","","",2020,"13+","106 min","Comedy","Choosi Choodangane is a coming of age rom-com story about a photographer Siddu (Shiva Kandukuri) who meets and falls in love with musician Shruthi (Varsha Bollama) after a painful break-up in his college days with Aishwarya (Malavika). The rest of the story is about how Siddu-Shruthi's love propels towards a happy ending with twists."
"A Man Possessed","Amel J. Figueroa","Ricardo Segarra, Gina Martino, Tommy Dreamer, Alex Russo, Cyrus Samson","","",2016,"16+","105 min","Action, Suspense","After his wife is brutally murdered, a man takes to the streets and into the criminal underground to find her killers and exact revenge."
"Magical bedtime stories","","","","",2021,"ALL","41 min","Animation, Anime, Kids","Magical bedtime stories for kids offer you an opportunity to watch and listen out a story for your kid, along with reminiscing about your childhood memories. Children love listening to famous bedtime stories as it is a treat for them as they dream about them while they fall asleep. The stories are fascinating and imaginative, and each one entertains and conveys insightful and thoughtful messages."
"Rattle-Can","Alexander Raye Pimentel","Damon Wickchester, Kytriena Payseno, Cody Poirot, Kyle Abraham, Nicholas Winand, Hannah Pimentel, Brian Paschall, Shawn Abraham, Jose Ramirez Sr., David Fritz","","",2021,"16+","90 min","Drama, Suspense","A reclusive college student finds social media fame as a disguised street artist who reveals his story through vandalism."
"Luke and Lucy and the Texas Ranger","Mark Mertens, Wim Bien","Billy Ray Cyrus","","",2011,"ALL","93 min","Western","Saddle up your horses and join sibling duo, Luke and Lucy as they unravel the mysterious shrinking of the world's population. With the help of their family and friends these unlikely heroes ride off to the Wild West on an adventure of a lifetime to save the world."
"Gogoler Kirti","Pompi Ghosh Mukherjee","Ahijit Ghosh, Indraneil Sengupta","","",2014,"ALL","120 min","Action","When Gogol arrives with his parents to their friend's mansion in the village, they find that a statuette is missing. Gogol teams up with Ashok, who poses as a photographer, to solve the mystery."
"Dreaming of Braddock","Cavi Borges, Ulisses Mattos","Pedro Monteiro, Augusto Madeira","","",2019,"13+","79 min","Comedy, Drama","The failed actor Rui (Pedro Monteiro) inherits a millionaire apartment and puts it up for sale to fulfill his dream: to star in the remake of a famous Chuck Norris film. While trying to sell the apartment, he has to negotiate the rights to produce the film, solve his love life and deal with an unusual problem: being a redhead."
"He Watches Over Me","Shaun Garcia, Orlando Eric Street","Golden Brooks, Tommy Ford","","",2018,"16+","87 min","Drama, Special Interest","In the aftermath of a vicious assault, a woman holds the fate of her attacker in her hands."
"The Tell Tale Heart","Ernest Morris","Laurence Payne, Adrienne Corri, Dermot Walsh","","",2021,"18+","80 min","Horror, Suspense","Terrifying hallucinations haunt a man after killing his best friend in a jealous rage."
"Cows Wearing Glasses","Alex Santiago Pérez","Daniel Lugo","","",2016,"16+","93 min","Drama","Marso, a lonely, eccentric painter and art professor, is losing his sight. As the world as he knows it comes to an end, he is now forced to re-examine an existence filled with professional successes but unsatisfying personal relationships."
"15-Minute Full Body Blast 3.0 Workout","","Maggie Binkley","","",2017,"ALL","18 min","Fitness","No equipment needed. Tip: complete Series 1.0 & 2.0 for 4+ weeks each prior to Series 3.0. The 2nd full body workout of your week, designed to work every major muscle efficiently & optimize calorie burn! Find the Weekly Workout Schedule for this Series, and more, on my website (FitnessMaggie)."
"The Handmaiden","PARK CHAN-wook","KIM MIN-hee, HA JUNG-woo, CHO JIN-woong, KIM HAE-sook, MOON SO-ri","","",2016,"18+","145 min","International, LGBTQ, Suspense","From PARK Chan-wook, the celebrated director of OLDBOY, LADY VENGEANCE and STOKER, comes a ravishing new crime drama. PARK presents a gripping and sensual tale of two women - a young Japanese Lady living on a secluded estate, and a Korean woman who is hired to serve as her new handmaiden, but is secretly plotting with a conman to defraud her of a large inheritance."
"Neha","Sumit Roy King","Priyanka Vishu","","",2021,"18+","118 min","Action, Drama","A young aspiring model from Mumbai accepts an offer to have photos taken for her modeling portfolio in Hyderabad. Soon her peace and quiet is shattered by a gang of local thugs who molest and torture her, then leave her for dead. But she returns for vengeance, trapping the men one by one. She inflicts pain on her attackers with a ferocity that surpasses her own or deal."
"Arjun Reddy","Sandeep Vanga","Vijay Deverakonda, Shalini Pandey","","",2017,"18+","182 min","Action, Drama, Romance","Arjun Reddy (Vijay Deverakonda) is a Surgeon and the topper of the college. He falls in love with his junior, a Tulu girl (Shalini), who is four years younger to him. Due to some unfortunate incidents, they break up. How life takes them forward forms the rest of the story."
"Back to Gaya","Lenard Fritz Krawinkel, Holger Tappe","Patrick Stewart, Emily Watson, Glenn Wrage","","",2021,"7+","88 min","Action, Animation, Kids","When a group of cartoon characters realize they are just part of an animated TV show, they escape from the mythical land of Gaya into the real world where they come face-to-face with their creator. From the writers of A BUG'S LIFE."
"Hatched","Scott Jeffrey, Rebecca J Matthews","Georgie Banks, Megan Purvis, Marshall Hawkes, Thomas Loone, Richard Kovacs","","",2021,"13+","85 min","Action, Horror, Science Fiction","An obsessive scientist discovers a way to bring dinosaurs back to life and when his family comes to visit, they find him dead, eaten by his creations. If they escape, these monsters could threaten the city, so they must be contained and destroyed."
"Sundarapandian","S. R. Prabhakaran","Sasikumar, Lakshmi Menon, Vijay Sethupathi, Soori, Appukutty, Inigo Prabhakaran, Soundararaja","","",2012,"ALL","147 min","Action, Comedy, Drama","Sundarapandian, who goes to great lengths to help his friends, conveys his friend's feelings to a girl who turns out to be the woman he liked. However, rekindled feelings turn their lives upside down."
"Sunday Mornings","Inda Reid","Courtney Arlett, Maria Acero, Michelle Acero, Kofi Adams, King Amir, Yano Anaya, Selena Anduze, Quincy Bonds, Lauren Boyd, Jarneen Brown, William Chaney, Rutu Chaudhari, Renae Dae, Jamie Dion, Thomas Elliott, Eric Esquer, Justin Franklin, Dezi Gregory, Michelle Hammonds, Byron Jeans, Maria Liatis, Tip Lyvette, Sharan C. Mansfield, Shakyrah Nichole, Kayla Perry, Kevin Porter, Katrina Rhodes, Chloe Sigur, Kynnedi Smith, Mike R. Tinker, Mac Wells, Sabrina C. Williams, Zerrick Williams, Michelle Zhuang","","",2021,"13+","64 min","Comedy, Drama","A Foster cousin is adopted by her Uncle into his seemingly perfect Church going Family; little to her surprise she's challenged by keeping her needy new band of unstable Sisters from killing in the Name of God."
"Killer Sofa","Bernie Rao","Piimio Mei, Nathalie Morris, Jed Brophy, Stacey King, Jim Baltaxe, Grant Kereama, Harley Neville, Sarah Munn","","",2019,"13+","81 min","Comedy, Horror","When a killer Lazy Boy chair falls in love with a girl, it's up to a disgraced Jewish Rabbi and a couple of brokenhearted detectives to figure out how to stop the bloody carnage that will follow."
"Hillary","Sam Friedman","Esther Friedman, Rain Pryor, Hannah Hodson, Christina Zorich","","",2016,"18+","32 min","Comedy","When Brooklynite Hillary gets dumped, she discovers that karma and fate have a sense of humor."
"Spring","Alexandra Swarens","Emma Maddock, Alexandra Swarens","","",2021,"13+","87 min","Drama, LGBTQ, Romance","An English girl has her life uprooted by her mom for her last year of High School. As if it wasn't hard enough leaving behind what is familiar, this small American town holds past memories for her as she spent years there as a child. Although, the hazy recollections and past history are only a small piece in the uncertainty of teenagehood."
"Elvira's Movie Macabre: The Killer Shrews","D.J. Viola, Ray Kellogg","Cassandra Peterson","","",2011,"16+","78 min","Comedy, Horror, Science Fiction","A revamping, if you will, of the 1980's classic horror movie showcase, hosted by Elvira, Mistress of the Dark."
"Anu and Arjun(Tamil)","Jeffrey Gee Chin","Vishnu Manchu, Kajal Aggarwal, Suniel Shetty, Naveen Chandra, Navdeep, Harsha, Mahima Makwana, Karma McCain, Ruhi Singh","","",2021,"13+","133 min","Action, Drama","Based on a series of true incidents that shook the Indian IT Industry and conned a whopping $380 million dollars (Rs.2,800 crores). This Project is about cultural clash between generations; between east and west; between rich and poor. On a moral downward spiral, yet an upward climb to great financial success, Anu and Arjun become savvy criminals and devise an ingenious scam."
"Murder Bury Win","Michael Lovan","Mikelen Walker, Erich Lane, Henry Alexander Kelly, Craig Cackowski, Brian Slaten, Michael Lovan, Jake Neri, Amy Everson, Melissa Lagosh","","",2021,"18+","91 min","Comedy, Horror, Suspense","After a famous game creator drops dead in a suspicious freak accident, three aspiring game designers must turn to their game for guidance. The premise of their game? How to murder someone... and get rid of the body."
"Freelancers: Mexico","Bill Gentile","Bill Gentile","","",2019,"13+","55 min","Documentary, Special Interest","They are a new breed of journalist. Daring, determined and tech-savvy, freelance foreign correspondents fill the void left by mainstream media retreating from international news coverage. Independent journalist Bill Gentile introduces us to his fellow free spirits in Mexico, where the so-called War on Drugs has left at least 175,000 people dead, and 104 journalists murdered since the year 2000."
"The Black Glove","Terence Fisher","","","",2021,"13+","84 min","Suspense","An American trumpet star (Alex Nicol) appearing at the London Palladium meets and has dinner with a beautiful blues singer who is later found murdered. When Scotland Yard considers Nicol a ""person of interest,"" he realizes he'll be facing the music unless he cracks the case himself. Cult horror director Terence Fisher helmed this topnotch Hammer Films noir."
"We Were Children","Tim Wolochatiuk","Rene Batson, Taya Ayotte Bourns, Alice Dano, Justin Ducharme","Canada","",2012,"13+","83 min","Drama","As young children, Lyna and Glen were taken from their homes and placed in church-run boarding schools. The trauma of this experience was made worse by years of untold physical, sexual and emotional abuse, the effects of which persist in their adult lives. The profound impact of the Canadian government's residential school system is conveyed unflinchingly through their eyes."
"Ghar Pe Bataao","Neshu Saluja","Saurabh Goyal, Priyanka Sonawane Hedau","","",2021,"13+","73 min","Romance","After 5 years of their relationship, the girl struggles to convince the boy to apprise his parents about them. The boy seems to be dithering and stalling because he is aware the full weight of an inter faith marriage would do to his parents. But the girl has made up her mind. It's now or never and she will push through."
"UFOTV Presents: Out of the Blue - The Definitive Investigation On UFOs","James Fox","Peter Coyote","","",2012,"ALL","107 min","Documentary, Special Interest","Narrated by Peter Coyote, Out of The Blue is widely considered the best documentary ever made about Unidentified Objects. The producers traveled around the world to investigate some of the most famous UFO events on record. Through exclusive interviews with high-ranking military and government personnel, this award-winning film supports the theory that some UFOs are of extraterrestrial origin."
"Raame Aandalum Raavane Aandalum","Arisil Moorthy","Mithun Manickam, Ramya Pandian, Vani Bhojan, Vadivel Murugan","","",2021,"13+","112 min","Comedy","Raame Aandalum Raavane Aandalum also known as RARA talks about a village, which is breaking news in all television channels in India but the people of the village don’t have electricity to watch Television."
